N_arv;UPA;UT;Nome_Cientifico;Nome_Popular;DAP_cm;Alt;Categoria;QF;Vol;g;lat;lon
10001;6;1;Parkia gigantocarpa;Fava-atanã;114,59;19;Remanescente;1;12,4891;1,0313;-5,907904;-54,969096
10002;6;1;Bagassa guianensis;Tatajuba;67,48;17;Remanescente;1;4,3893;0,3577;-5,907938;-54,969117
10003;6;1;Castilla ulei;Caucho;52,52;11;Explorar;1;1,8263;0,2166;-5,907999;-54,969913
10004;6;1;Castilla ulei;Caucho;40,74;13;Remanescente;1;1,1068;0,1304;-5,906353;-54,969991
10005;6;1;Vochysia maxima;Quaruba;47,75;15;Remanescente;2;1,8325;0,179;-5,906086;-54,97024
10006;6;1;Copaifera duckei;Copaíba;43,93;18;Remanescente;1;1,7038;0,1515;-5,905871;-54,97024
10007;6;1;Pseudopiptadenia psilostachya;Timborana;59,52;16;Explorar;2;3,2062;0,2783;-5,90586;-54,970205
10008;6;1;Bertholletia excelsa;Castanheira;135,28;20;Remanescente;1;16,5552;1,4374;-5,905836;-54,970093
10009;6;1;Hymenolobium petraeum;Angelim-pedra;72,57;20;Explorar;1;5,7342;0,4137;-5,9052;-54,970099
10010;6;1;Manilkara elata;Maçaranduba;44,88;15;Remanescente;1;1,5734;0,1582;-5,904782;-54,97013
10011;6;1;Copaifera duckei;Copaíba;50,61;19;Remanescente;1;2,5055;0,2012;-5,904175;-54,97016
10012;6;1;Goupia glabra;Cupiúba;63,66;14;Substituta;1;3,3641;0,3183;-5,903404;-54,970419
10013;6;1;Goupia glabra;Cupiúba;74,8;16;Explorar;2;5,1779;0,4395;-5,903429;-54,970432
10014;6;1;Handroanthus serratifolius;Ipê-amarelo;47,43;20;Remanescente;1;2,224;0,1767;-5,903457;-54,970452
10015;6;1;Manilkara elata;Maçaranduba;48,7;17;Remanescente;1;2,1074;0,1863;-5,903448;-54,970513
10016;6;1;Manilkara elata;Maçaranduba;45,52;17;Remanescente;1;1,7862;0,1627;-5,904159;-54,970293
10017;6;1;Vochysia maxima;Quaruba;64,62;18;Remanescente;1;4,1762;0,3279;-5,904591;-54,97034
10018;6;1;Astronium lecointei;Muiracatiara;44,56;21;Remanescente;1;1,9751;0,156;-5,904806;-54,970276
10019;6;1;Enterolobium spp.;Fava-timbaúba;48,38;17;Remanescente;2;2,0743;0,1839;-5,905158;-54,970427
10020;6;1;Manilkara elata;Maçaranduba;47,75;16;Remanescente;1;1,9215;0,179;-5,905643;-54,97043
10021;6;1;Pseudopiptadenia psilostachya;Timborana;66,85;18;Substituta;2;4,4863;0,3509;-5,905754;-54,970461
10022;6;1;Couratari guianensis;Tauari;42,97;21;Remanescente;1;1,8022;0,145;-5,906036;-54,970417
10023;6;1;Manilkara elata;Maçaranduba;74,17;19;Explorar;1;5,7705;0,432;-5,906069;-54,970479
10024;6;1;Goupia glabra;Cupiúba;63,66;14;Explorar;1;3,3641;0,3183;-5,906245;-54,970401
10025;6;1;Hymenolobium petraeum;Angelim-pedra;55,7;18;Remanescente;1;3,0109;0,2437;-5,906408;-54,970343
10026;6;1;Handroanthus serratifolius;Ipê-amarelo;70,03;22;Explorar;1;5,7121;0,3852;-5,906484;-54,970334
10027;6;1;Enterolobium schomburgkii;Fava-de-rosca;82,12;19;Remanescente;2;7,033;0,5297;-5,90695;-54,970252
10028;6;1;Schizolobium amazonicum;Paricá;41,38;17;Remanescente;1;1,4038;0,1345;-5,907281;-54,970497
10029;6;1;Castilla ulei;Caucho;49,97;10;Remanescente;1;1,5115;0,1962;-5,907636;-54,970368
10030;6;1;Hymenaea courbaril;Jatobá;88,17;21;Substituta;1;8,6259;0,6106;-5,907897;-54,970281
10031;6;1;Manilkara elata;Maçaranduba;56,02;15;Explorar;1;2,6691;0,2465;-5,908186;-54,970355
10032;6;1;Apuleia leiocarpa;Garapeira;80;19;Remanescente;1;6,6908;0,5027;-5,909191;-54,970132
10033;6;1;Castilla ulei;Caucho;55;13;Remanescente;1;2,3021;0,2376;-5,909798;-54,970265
10034;6;1;Couratari guianensis;Tauari;97,08;20;Explorar;1;9,8758;0,7403;-5,911382;-54,970249
10035;6;1;Hevea brasiliensis;Seringueira;39,79;14;Remanescente;2;1,0993;0,1243;-5,911755;-54,970656
10036;6;1;Micropholis melinoniana;Currupixá;92,31;18;Explorar;1;8,377;0,6692;-5,910429;-54,970667
10037;6;1;Couratari guianensis;Tauari;98,68;22;Explorar;1;10,8772;0,7647;-5,910375;-54,970716
10038;6;1;Hevea brasiliensis;Seringueira;53,16;16;Remanescente;1;2,4806;0,2219;-5,910287;-54,970696
10039;6;1;Hevea brasiliensis;Seringueira;75;23;Remanescente;1;6,7714;0,4418;-5,909107;-54,970857
10040;6;1;Brosimum parinarioides;Amapá;84,35;18;Remanescente;1;7,1104;0,5588;-5,906741;-54,9706
10041;6;1;Castilla ulei;Caucho;42,97;15;Remanescente;1;1,4104;0,145;-5,906718;-54,97057
10042;6;1;Hymenaea courbaril;Jatobá;48,38;19;Remanescente;1;2,2492;0,1839;-5,90663;-54,970563
10043;6;1;Castilla ulei;Caucho;46,15;12;Remanescente;1;1,4292;0,1673;-5,905757;-54,970614
10044;6;1;Copaifera duckei;Copaíba;51,57;18;Remanescente;2;2,5179;0,2088;-5,905593;-54,970636
10045;6;1;Manilkara elata;Maçaranduba;73,21;20;Explorar;1;5,8358;0,421;-5,905208;-54,970578
10046;6;1;Couratari guianensis;Tauari;50,93;20;Substituta;1;2,6393;0,2037;-5,905015;-54,970485
10047;6;1;Hymenolobium petraeum;Angelim-pedra;79,58;19;Explorar;1;6,6231;0,4974;-5,904801;-54,970715
10048;6;1;Dipteryx odorata;Cumaru;57,3;16;Remanescente;1;2,9446;0,2578;-5,904147;-54,970579
10049;6;1;Enterolobium maximum;Fava-tamboril;60,48;20;Remanescente;1;3,9066;0,2873;-5,903586;-54,970643
10050;6;1;Pseudopiptadenia psilostachya;Timborana;57,3;18;Substituta;1;3,2093;0,2578;-5,903493;-54,970678
10051;6;1;Handroanthus impetiginosum;Ipê-roxo;74,17;22;Remanescente;1;6,4148;0,432;-5,902977;-54,970648
10052;6;1;Couratari guianensis;Tauari;95,49;20;Explorar;1;9,5972;0,7162;-5,901901;-54,970954
10053;6;1;Cedrela odorata;Cedro-vermelho;50,29;13;Substituta;1;1,868;0,1987;-5,902212;-54,970949
10054;6;1;Enterolobium spp.;Fava-timbaúba;50,61;19;Remanescente;1;2,5055;0,2012;-5,902496;-54,97095
10055;6;1;Hymenaea courbaril;Jatobá;93,58;24;Remanescente;1;10,561;0,6878;-5,902823;-54,970934
10056;6;1;Manilkara elata;Maçaranduba;45,52;20;Remanescente;1;2,0102;0,1627;-5,902999;-54,970967
10057;6;1;Hevea brasiliensis;Seringueira;63,66;8;Remanescente;1;2,2075;0,3183;-5,903221;-54,971002
10058;6;1;Copaifera duckei;Copaíba;46,47;16;Remanescente;1;1,7986;0,1696;-5,903487;-54,970819
10059;6;1;Hymenolobium petraeum;Angelim-pedra;62,71;17;Remanescente;1;3,756;0,3088;-5,90443;-54,970867
10060;6;1;Apuleia leiocarpa;Garapeira;78,94;10;Explorar;1;4,0546;0,4894;-5,904638;-54,97091
10061;6;1;Caryocar villosum;Pequiá;95,49;17;Remanescente;1;8,528;0,7162;-5,905957;-54,970926
10062;6;1;Trattinnickia rhoifolia;Amescla;57,3;14;Remanescente;2;2,6688;0,2578;-5,905956;-54,970921
10063;6;1;Hymenaea parvifolia;Jutaí-mirim;58,25;16;Explorar;1;3,0558;0,2665;-5,906236;-54,970917
10064;6;1;Couratari guianensis;Tauari;55,07;20;Explorar;1;3,1659;0,2382;-5,906516;-54,970988
10065;6;1;Cedrela odorata;Cedro-vermelho;65,89;15;Remanescente;1;3,8086;0,341;-5,907479;-54,970862
10066;6;1;Hymenaea parvifolia;Jutaí-mirim;47,75;19;Remanescente;1;2,1781;0,179;-5,908967;-54,970895
10067;6;1;Micropholis melinoniana;Currupixá;57,3;17;Remanescente;1;3,0782;0,2578;-5,913258;-54,970935
10068;6;1;Hymenaea parvifolia;Jutaí-mirim;124,14;20;Remanescente;2;14,6353;1,2104;-5,907497;-54,971107
10069;6;1;Handroanthus serratifolius;Ipê-amarelo;130,51;21;Explorar;1;16,3019;1,3377;-5,906089;-54,971349
10070;6;1;Manilkara elata;Maçaranduba;73,21;18;Substituta;1;5,4063;0,421;-5,905664;-54,971181
10071;6;1;Apuleia leiocarpa;Garapeira;79,58;19;Explorar;2;6,6231;0,4974;-5,905557;-54,971122
10072;6;1;Hymenaea parvifolia;Jutaí-mirim;47,75;17;Remanescente;2;2,0087;0,179;-5,905106;-54,971159
10073;6;1;Handroanthus serratifolius;Ipê-amarelo;66,85;20;Substituta;1;4,8426;0,3509;-5,905017;-54,97111
10074;6;1;Goupia glabra;Cupiúba;73,85;19;Explorar;1;5,7212;0,4283;-5,90428;-54,971098
10075;6;1;Couratari guianensis;Tauari;64,94;20;Explorar;1;4,5553;0,3312;-5,903667;-54,971218
10076;6;1;Buchenavia grandis;Mirindiba;80;19;Remanescente;2;6,6908;0,5027;-5,902983;-54,971257
10077;6;1;Handroanthus serratifolius;Ipê-amarelo;39,79;20;Remanescente;1;1,4269;0,1243;-5,901842;-54,971158
10078;6;1;Hymenaea parvifolia;Jutaí-mirim;59,52;19;Explorar;1;3,6344;0,2783;-5,901782;-54,971337
10079;6;1;Couratari guianensis;Tauari;59,84;20;Explorar;1;3,8167;0,2813;-5,901758;-54,971326
10080;6;1;Hymenaea parvifolia;Jutaí-mirim;66,85;19;Explorar;1;4,6661;0,3509;-5,901655;-54,971291
10081;6;1;Simarouba amara;Marupá;105,04;18;Remanescente;1;10,4467;0,8666;-5,901541;-54,971249
10082;6;1;Copaifera duckei;Copaíba;76,39;14;Remanescente;2;4,8919;0,4584;-5,901814;-54,971431
10083;6;1;Hymenaea parvifolia;Jutaí-mirim;41,38;15;Remanescente;1;1,2806;0,1345;-5,901847;-54,971454
10084;6;1;Couratari guianensis;Tauari;89,13;20;Explorar;1;8,4917;0,6239;-5,902933;-54,971555
10085;6;1;Couratari guianensis;Tauari;43,29;19;Remanescente;1;1,708;0,1472;-5,903961;-54,971544
10086;6;1;Simarouba amara;Marupá;45,52;14;Remanescente;2;1,5486;0,1627;-5,904042;-54,971494
10087;6;1;Trattinnickia rhoifolia;Amescla;75,44;15;Remanescente;1;5,0215;0,447;-5,904469;-54,971384
10088;6;1;Goupia glabra;Cupiúba;47,75;16;Remanescente;1;1,9215;0,179;-5,905;-54,9715
10089;6;1;Goupia glabra;Cupiúba;53,16;12;Explorar;1;2,0048;0,2219;-5,905143;-54,971586
10090;6;1;Goupia glabra;Cupiúba;85,31;15;Explorar;2;6,3533;0,5716;-5,905388;-54,971475
10091;6;1;Hevea brasiliensis;Seringueira;41,7;14;Remanescente;1;1,2413;0,1366;-5,909959;-54,97149
10092;6;1;Hevea brasiliensis;Seringueira;42,02;13;Remanescente;1;1,198;0,1387;-5,911118;-54,971491
10093;6;1;Simarouba amara;Marupá;50,93;17;Substituta;1;2,3452;0,2037;-5,909087;-54,971684
10094;6;1;Simarouba amara;Marupá;49,34;15;Remanescente;1;1,9836;0,1912;-5,908537;-54,97174
10095;6;1;Couratari guianensis;Tauari;66,53;20;Explorar;1;4,7944;0,3476;-5,908077;-54,971689
10096;6;1;Simarouba amara;Marupá;41,7;14;Remanescente;2;1,2413;0,1366;-5,907384;-54,97153
10097;6;1;Apuleia leiocarpa;Garapeira;42,97;13;Remanescente;1;1,2687;0,145;-5,907278;-54,971705
10098;6;1;Astronium lecointei;Muiracatiara;60,48;20;Remanescente;1;3,9066;0,2873;-5,907242;-54,971664
10099;6;1;Couratari guianensis;Tauari;73,21;22;Remanescente;1;6,2508;0,421;-5,906329;-54,971704
10100;6;1;Handroanthus serratifolius;Ipê-amarelo;120,96;23;Remanescente;1;15,5696;1,1491;-5,906183;-54,971624
10101;6;1;Couratari guianensis;Tauari;44,56;18;Remanescente;1;1,7665;0,156;-5,905167;-54,971745
10102;6;1;Cariniana micrantha;Tauari-cachimbo;74,17;20;Remanescente;1;5,9889;0,432;-5,904663;-54,971785
10103;6;1;Castilla ulei;Caucho;71,62;13;Substituta;1;4,071;0,4029;-5,904091;-54,971872
10104;6;1;Schizolobium amazonicum;Paricá;47,75;14;Remanescente;2;1,7415;0,179;-5,904007;-54,971844
10105;6;1;Handroanthus serratifolius;Ipê-amarelo;39,79;10;Remanescente;1;0,8548;0,1243;-5,90405;-54,971662
10106;6;1;Holopyxidium jarana;Jarana;45,52;17;Remanescente;2;1,7862;0,1627;-5,902988;-54,971845
10107;6;1;Castilla ulei;Caucho;63,98;13;Explorar;2;3,2184;0,3215;-5,902722;-54,97166
10108;6;1;Goupia glabra;Cupiúba;82,76;10;Remanescente;3;4,4367;0,5379;-5,901964;-54,971689
10109;6;1;Simarouba amara;Marupá;57,3;17;Explorar;1;3,0782;0,2578;-5,901932;-54,971714
10110;6;1;Manilkara elata;Maçaranduba;79,58;20;Explorar;1;6,8738;0,4974;-5,901875;-54,971771
10111;6;1;Manilkara elata;Maçaranduba;106;19;Explorar;2;11,0277;0,8824;-5,901722;-54,971663
10112;6;1;Ocotea rubra;Louro-vermelho;46,79;14;Remanescente;1;1,6577;0,172;-5,901415;-54,971666
10113;6;1;Handroanthus serratifolius;Ipê-amarelo;50,93;19;Substituta;1;2,5431;0,2037;-5,901366;-54,97165
10114;6;1;Ocotea rubra;Louro-vermelho;91,04;16;Remanescente;1;7,4985;0,6509;-5,901268;-54,971561
10115;6;1;Vatairea paraensis;Fava-amargosa;41,38;18;Remanescente;1;1,4635;0,1345;-5,901613;-54,972062
10116;6;1;Enterolobium spp.;Fava-timbaúba;106,63;16;Remanescente;2;9,8241;0,8931;-5,903035;-54,972
10117;6;1;Bagassa guianensis;Tatajuba;85,94;19;Remanescente;1;7,6561;0,5801;-5,903059;-54,972042
10118;6;1;Parkia pendula;Fava-bolota;70,98;14;Remanescente;2;4,2236;0,3957;-5,903375;-54,972038
10119;6;1;Simarouba amara;Marupá;76,39;11;Explorar;1;4,0871;0,4584;-5,90445;-54,972064
10120;6;1;Virola surinamensis;Virola;43,93;13;Remanescente;2;1,3411;0,1515;-5,904612;-54,971998
10121;6;1;Goupia glabra;Cupiúba;86,26;16;Explorar;1;6,8003;0,5844;-5,904877;-54,972064
10122;6;1;Buchenavia grandis;Mirindiba;66,85;18;Explorar;2;4,4863;0,3509;-5,905147;-54,972085
10123;6;1;Handroanthus serratifolius;Ipê-amarelo;89,13;20;Explorar;1;8,4917;0,6239;-5,905153;-54,972087
10124;6;1;Trattinnickia rhoifolia;Amescla;84,67;19;Remanescente;1;7,4474;0,5631;-5,905197;-54,972056
10125;6;1;Enterolobium spp.;Fava-timbaúba;93,58;21;Remanescente;2;9,596;0,6878;-5,905518;-54,972028
10126;6;1;Parkia pendula;Fava-bolota;79,58;15;Remanescente;1;5,5722;0,4974;-5,905964;-54,972041
10127;6;1;Hymenaea courbaril;Jatobá;88,49;20;Explorar;1;8,3821;0,615;-5,906215;-54,972001
10128;6;1;Buchenavia grandis;Mirindiba;109,82;18;Remanescente;3;11,2277;0,9472;-5,906497;-54,972063
10129;6;1;Couratari guianensis;Tauari;63,66;21;Explorar;1;4,5232;0,3183;-5,90738;-54,97209
10130;6;1;Buchenavia grandis;Mirindiba;63,98;14;Substituta;2;3,4002;0,3215;-5,90781;-54,972307
10131;6;1;Buchenavia grandis;Mirindiba;96,13;16;Explorar;2;8,2525;0,7258;-5,904415;-54,972303
10132;6;1;Simarouba amara;Marupá;44,56;17;Remanescente;1;1,6943;0,156;-5,904414;-54,972273
10133;6;1;Goupia glabra;Cupiúba;66,85;14;Explorar;2;3,7307;0,3509;-5,904221;-54,972315
10134;6;1;Handroanthus serratifolius;Ipê-amarelo;47,11;20;Remanescente;1;2,1877;0,1743;-5,903759;-54,972314
10135;6;1;Micropholis melinoniana;Currupixá;73,21;18;Substituta;1;5,4063;0,421;-5,903535;-54,972179
10136;6;1;Couratari guianensis;Tauari;47,75;20;Remanescente;1;2,2606;0,179;-5,9035;-54,97219
10137;6;1;Hymenolobium petraeum;Angelim-pedra;70,35;19;Substituta;1;5,1863;0,3887;-5,903152;-54,972211
10138;6;1;Couratari guianensis;Tauari;82,12;21;Explorar;1;7,5608;0,5297;-5,902493;-54,972104
10139;6;1;Handroanthus serratifolius;Ipê-amarelo;39,79;19;Remanescente;1;1,3749;0,1243;-5,90148;-54,972262
10140;6;1;Couratari guianensis;Tauari;58,89;20;Explorar;1;3,6831;0,2724;-5,901396;-54,97233
10141;6;1;Couratari guianensis;Tauari;45,2;19;Remanescente;1;1,9034;0,1605;-5,90107;-54,972193
10142;6;1;Brosimum parinarioides;Amapá;79,58;20;Remanescente;2;6,8738;0,4974;-5,900861;-54,972369
10143;6;1;Simarouba amara;Marupá;44,56;15;Remanescente;1;1,5457;0,156;-5,900913;-54,972594
10144;6;1;Holopyxidium jarana;Jarana;46,15;13;Remanescente;2;1,517;0,1673;-5,901021;-54,972591
10145;6;1;Enterolobium schomburgkii;Fava-de-rosca;77,03;17;Remanescente;1;5,7349;0,466;-5,902184;-54,972541
10146;6;1;Manilkara elata;Maçaranduba;84,03;20;Explorar;1;7,6213;0,5546;-5,902944;-54,972582
10147;6;1;Buchenavia grandis;Mirindiba;133,69;18;Remanescente;3;15,0854;1,4037;-5,903138;-54,97264
10148;6;1;Apuleia leiocarpa;Garapeira;90,08;16;Substituta;1;7,3581;0,6373;-5,903456;-54,972521
10149;6;1;Enterolobium schomburgkii;Fava-de-rosca;78,3;20;Remanescente;1;6,6631;0,4816;-5,903563;-54,972579
10150;6;1;Couratari guianensis;Tauari;94,86;18;Explorar;1;8,7879;0,7067;-5,903807;-54,972589
10151;6;1;Holopyxidium jarana;Jarana;50,93;15;Remanescente;1;2,1395;0,2037;-5,90402;-54,972598
10152;6;1;Hymenaea parvifolia;Jutaí-mirim;61,12;17;Explorar;1;3,5519;0,2934;-5,904091;-54,97253
10153;6;1;Enterolobium maximum;Fava-tamboril;130,51;10;Remanescente;1;9,4278;1,3377;-5,90428;-54,972594
10154;6;1;Buchenavia grandis;Mirindiba;95,49;16;Remanescente;3;8,1578;0,7162;-5,904774;-54,97257
10155;6;1;Castilla ulei;Caucho;46,79;14;Remanescente;2;1,6577;0,172;-5,905835;-54,972479
10156;6;1;Buchenavia grandis;Mirindiba;71,62;18;Remanescente;3;5,172;0,4029;-5,906547;-54,972535
10157;6;1;Aspidosperma excelsum;Carapanaúba;66,85;20;Remanescente;2;4,8426;0,3509;-5,906553;-54,972539
10158;6;1;Hevea brasiliensis;Seringueira;47,11;16;Remanescente;1;1,8596;0,1743;-5,908823;-54,972559
10159;6;1;Hevea brasiliensis;Seringueira;57,3;13;Remanescente;2;2,5261;0,2578;-5,911434;-54,972578
10160;6;1;Simarouba amara;Marupá;51,57;15;Explorar;1;2,2032;0,2088;-5,911919;-54,972546
10161;6;1;Simarouba amara;Marupá;62,07;18;Remanescente;1;3,8303;0,3026;-5,91198;-54,972583
10162;6;1;Trattinnickia rhoifolia;Amescla;54,11;16;Remanescente;1;2,585;0,23;-5,912073;-54,972592
10163;6;1;Enterolobium spp.;Fava-timbaúba;62,07;19;Remanescente;1;3,9838;0,3026;-5,911779;-54,972735
10164;6;1;Lecythis pisonis;Sapucaia;127,32;17;Remanescente;1;13,496;1,2732;-5,91081;-54,972877
10165;6;1;Hymenaea parvifolia;Jutaí-mirim;73,85;20;Remanescente;1;5,9377;0,4283;-5,910755;-54,972868
10166;6;1;Simarouba amara;Marupá;77,99;18;Explorar;1;6,1242;0,4777;-5,910579;-54,972924
10167;6;1;Simarouba amara;Marupá;72,57;14;Remanescente;2;4,4176;0,4137;-5,910509;-54,972901
10168;6;1;Hymenaea parvifolia;Jutaí-mirim;57,3;19;Explorar;1;3,3379;0,2578;-5,907736;-54,972797
10169;6;1;Hymenaea parvifolia;Jutaí-mirim;51,25;20;Explorar;1;2,6785;0,2063;-5,906875;-54,972743
10170;6;1;Apuleia leiocarpa;Garapeira;60,48;19;Remanescente;1;3,7642;0,2873;-5,905042;-54,972725
10171;6;1;Castilla ulei;Caucho;60,16;16;Substituta;1;3,2824;0,2843;-5,904521;-54,972834
10172;6;1;Enterolobium schomburgkii;Fava-de-rosca;92,95;18;Remanescente;1;8,4796;0,6785;-5,904241;-54,972781
10173;6;1;Castilla ulei;Caucho;50,93;12;Substituta;1;1,8132;0,2037;-5,90389;-54,972835
10174;6;1;Copaifera duckei;Copaíba;67,16;20;Remanescente;1;4,8911;0,3543;-5,903677;-54,972923
10175;6;1;Hymenaea parvifolia;Jutaí-mirim;51,88;22;Explorar;1;2,9536;0,2114;-5,903369;-54,972846
10176;6;1;Pseudopiptadenia psilostachya;Timborana;68,44;17;Explorar;2;4,5194;0,3678;-5,902054;-54,97282
10177;6;1;Apuleia leiocarpa;Garapeira;41,38;13;Remanescente;2;1,152;0,1345;-5,901699;-54,972979
10178;6;1;Bertholletia excelsa;Castanheira;82,76;23;Remanescente;1;8,19;0,5379;-5,900949;-54,972878
10179;6;1;Vatairea paraensis;Fava-amargosa;51,25;19;Remanescente;2;2,5808;0,2063;-5,900889;-54,972864
10180;6;1;Simarouba amara;Marupá;45,2;13;Remanescente;1;1,4405;0,1605;-5,90145;-54,973112
10181;6;1;Apuleia leiocarpa;Garapeira;72;21;Substituta;1;5,8453;0,4072;-5,901535;-54,973189
10182;6;1;Schizolobium amazonicum;Paricá;63,66;18;Remanescente;1;4,0454;0,3183;-5,90283;-54,973121
10183;6;1;Manilkara elata;Maçaranduba;54,11;16;Explorar;1;2,585;0,23;-5,903317;-54,973001
10184;6;1;Brosimum parinarioides;Amapá;48,38;19;Remanescente;1;2,2492;0,1839;-5,903744;-54,973066
10185;6;1;Parkia pendula;Fava-bolota;95,49;17;Remanescente;1;8,528;0,7162;-5,903779;-54,97311
10186;6;1;Caryocar villosum;Pequiá;62,39;15;Remanescente;1;3,389;0,3057;-5,904231;-54,972967
10187;6;1;Apuleia leiocarpa;Garapeira;111,41;19;Explorar;1;11,9483;0,9748;-5,904344;-54,972947
10188;6;1;Bertholletia excelsa;Castanheira;58,25;17;Remanescente;1;3,1944;0,2665;-5,905497;-54,973036
10189;6;1;Castilla ulei;Caucho;46,15;14;Remanescente;1;1,6027;0,1673;-5,905849;-54,973073
10190;6;1;Goupia glabra;Cupiúba;50,93;16;Substituta;1;2,2434;0,2037;-5,90983;-54,973085
10191;6;1;Couratari guianensis;Tauari;65,25;21;Explorar;1;4,7678;0,3344;-5,90995;-54,973106
10192;6;1;Manilkara elata;Maçaranduba;54,75;19;Explorar;1;3,0102;0,2354;-5,910393;-54,973028
10193;6;1;Copaifera duckei;Copaíba;73,21;17;Remanescente;1;5,1856;0,421;-5,910498;-54,973074
10194;6;1;Schizolobium amazonicum;Paricá;48,7;15;Remanescente;2;1,9225;0,1863;-5,91058;-54,973083
10195;6;1;Manilkara elata;Maçaranduba;49,66;18;Remanescente;1;2,3021;0,1937;-5,910635;-54,973347
10196;6;1;Buchenavia grandis;Mirindiba;73,21;19;Remanescente;3;5,623;0,421;-5,910421;-54,97338
10197;6;1;Castilla ulei;Caucho;71,62;14;Explorar;1;4,301;0,4029;-5,910297;-54,973452
10198;6;1;Astronium lecointei;Muiracatiara;74,17;22;Remanescente;1;6,4148;0,432;-5,909922;-54,973382
10199;6;1;Buchenavia parvifolia;Tanibuca-amarela;66,85;19;Remanescente;1;4,6661;0,3509;-5,907301;-54,973286
10200;6;1;Simarouba amara;Marupá;39,79;15;Remanescente;1;1,1567;0,1243;-5,904857;-54,973384
10201;6;1;Handroanthus impetiginosum;Ipê-roxo;70,98;20;Remanescente;1;5,4825;0,3957;-5,904803;-54,9734
10202;6;1;Astronium lecointei;Muiracatiara;57,3;21;Remanescente;1;3,5884;0,2578;-5,90388;-54,973262
10203;6;1;Hymenaea parvifolia;Jutaí-mirim;47,75;18;Remanescente;1;2,0942;0,179;-5,90107;-54,973707
10204;6;1;Vatairea paraensis;Fava-amargosa;70,66;19;Remanescente;1;5,2344;0,3922;-5,903071;-54,973646
10205;6;1;Enterolobium schomburgkii;Fava-de-rosca;85,94;17;Remanescente;2;7,0606;0,5801;-5,903096;-54,973636
10206;6;1;Apuleia leiocarpa;Garapeira;114,59;20;Explorar;1;12,9617;1,0313;-5,903414;-54,973651
10207;6;1;Parkia pendula;Fava-bolota;87,85;15;Remanescente;2;6,7062;0,6062;-5,903975;-54,973595
10208;6;1;Castilla ulei;Caucho;63,98;14;Explorar;2;3,4002;0,3215;-5,905207;-54,973642
10209;6;1;Simarouba amara;Marupá;39,79;13;Remanescente;1;1,0405;0,1243;-5,906075;-54,973674
10210;6;1;Goupia glabra;Cupiúba;70,98;16;Substituta;2;4,6602;0,3957;-5,90661;-54,973471
10211;6;1;Couratari guianensis;Tauari;62,07;19;Substituta;1;3,9838;0,3026;-5,907674;-54,973764
10212;6;1;Hymenaea parvifolia;Jutaí-mirim;57,3;18;Explorar;2;3,2093;0,2578;-5,909441;-54,973633
10213;6;1;Pseudopiptadenia psilostachya;Timborana;63,98;15;Remanescente;2;3,5778;0,3215;-5,909605;-54,973565
10214;6;1;Enterolobium schomburgkii;Fava-de-rosca;68,12;16;Remanescente;2;4,2816;0,3644;-5,910079;-54,973627
10215;6;1;Cedrela odorata;Cedro-vermelho;88,49;19;Remanescente;1;8,0764;0,615;-5,910638;-54,973582
10216;6;1;Couratari guianensis;Tauari;66,85;21;Explorar;1;5,0162;0,3509;-5,911073;-54,974011
10217;6;1;Cedrela odorata;Cedro-vermelho;41,38;14;Remanescente;1;1,2171;0,1345;-5,910052;-54,973907
10218;6;1;Bertholletia excelsa;Castanheira;126,69;22;Remanescente;1;16,1501;1,2605;-5,909806;-54,973868
10219;6;1;Hymenaea courbaril;Jatobá;88,17;21;Explorar;1;8,6259;0,6106;-5,909321;-54,973963
10220;6;1;Manilkara elata;Maçaranduba;60,48;20;Remanescente;1;3,9066;0,2873;-5,904477;-54,973943
10221;6;1;Hymenaea parvifolia;Jutaí-mirim;66,85;19;Explorar;2;4,6661;0,3509;-5,904443;-54,973974
10222;6;1;Manilkara elata;Maçaranduba;44,56;17;Remanescente;1;1,6943;0,156;-5,90446;-54,973989
10223;6;1;Handroanthus serratifolius;Ipê-amarelo;39,79;17;Remanescente;1;1,2679;0,1243;-5,903613;-54,973845
10224;6;1;Couratari guianensis;Tauari;67,48;21;Explorar;1;5,1167;0,3577;-5,903419;-54,97386
10225;6;1;Simarouba amara;Marupá;57,3;17;Remanescente;1;3,0782;0,2578;-5,902225;-54,973991
10226;6;1;Handroanthus serratifolius;Ipê-amarelo;50,93;20;Explorar;1;2,6393;0,2037;-5,903418;-54,974262
10227;6;1;Parkia gigantocarpa;Fava-atanã;98,68;20;Remanescente;2;10,1551;0,7647;-5,903769;-54,97429
10228;6;1;Castilla ulei;Caucho;58,25;16;Explorar;2;3,0558;0,2665;-5,903793;-54,97417
10229;6;1;Hymenaea parvifolia;Jutaí-mirim;47,75;18;Remanescente;1;2,0942;0,179;-5,903974;-54,974224
10230;6;1;Apuleia leiocarpa;Garapeira;73,21;20;Explorar;1;5,8358;0,421;-5,904806;-54,974123
10231;6;1;Couratari guianensis;Tauari;65,57;21;Explorar;1;4,8172;0,3377;-5,905352;-54,974167
10232;6;1;Cedrela odorata;Cedro-vermelho;57,3;15;Explorar;1;2,8082;0,2578;-5,905493;-54,974104
10233;6;1;Micropholis melinoniana;Currupixá;62,07;17;Remanescente;1;3,6739;0,3026;-5,905515;-54,974096
10234;6;1;Bagassa guianensis;Tatajuba;114,59;20;Remanescente;2;12,9617;1,0313;-5,90953;-54,974103
