N_arv;UPA;UT;Nome_Cientifico;Nome_Popular;DAP_cm;Alt;Categoria;QF;Vol;g;lat;lon
50233;6;5;Simarouba amara;Marupá;57,3;17;Remanescente;1;3,0782;0,2578;-5,913546;-54,946273
50234;6;5;Ocotea cymbarum;Louro-amarelo;42,65;12;Remanescente;1;1,1729;0,1429;-5,91231;-54,946309
50235;6;5;Apuleia leiocarpa;Garapeira;75,44;18;Remanescente;1;5,7387;0,447;-5,912314;-54,94633
50236;6;5;Diplotropis purpurea;Sucupira-amarela;62,71;19;Remanescente;1;4,0728;0,3088;-5,912211;-54,946212
50237;6;5;Couratari guianensis;Tauari;92,63;17;Explorar;1;8,0842;0,6739;-5,912127;-54,946214
50238;6;5;Simarouba amara;Marupá;66,85;14;Remanescente;1;3,7307;0,3509;-5,910744;-54,946166
50239;6;5;Handroanthus impetiginosum;Ipê-roxo;91,99;24;Substituta;1;10,2455;0,6646;-5,909561;-54,94617
50240;6;5;Goupia glabra;Cupiúba;54,11;14;Explorar;2;2,3429;0,23;-5,908702;-54,946318
50241;6;5;Vochysia maxima;Quaruba;63,03;13;Remanescente;1;3,1161;0,312;-5,907038;-54,946301
50242;6;5;Dipteryx odorata;Cumaru;50,93;15;Remanescente;2;2,1395;0,2037;-5,906872;-54,946133
50243;6;5;Bertholletia excelsa;Castanheira;121,59;15;Remanescente;1;11,5038;1,1612;-5,906662;-54,946235
50244;6;5;Vochysia maxima;Quaruba;154,7;17;Remanescente;1;17,5697;1,8796;-5,905947;-54,946379
50245;6;5;Manilkara elata;Maçaranduba;41,38;16;Remanescente;1;1,3428;0,1345;-5,905608;-54,946199
50246;6;5;Manilkara elata;Maçaranduba;44,56;14;Remanescente;1;1,469;0,156;-5,905277;-54,94637
50247;6;5;Goupia glabra;Cupiúba;78,94;13;Explorar;1;4,9355;0,4894;-5,902499;-54,946318
50248;6;5;Buchenavia parvifolia;Tanibuca-amarela;98,68;14;Remanescente;1;7,8234;0,7647;-5,902366;-54,946451
50249;6;5;Castilla ulei;Caucho;60,48;15;Remanescente;1;3,1669;0,2873;-5,901916;-54,946322
50250;6;5;Goupia glabra;Cupiúba;39,79;8;Remanescente;2;0,7213;0,1243;-5,901859;-54,946304
50251;6;5;Hymenolobium petraeum;Angelim-pedra;65,25;16;Remanescente;1;3,9124;0,3344;-5,901146;-54,94613
50252;6;5;Manilkara elata;Maçaranduba;44,56;15;Remanescente;1;1,5457;0,156;-5,900526;-54,946326
50253;6;5;Diplotropis purpurea;Sucupira-amarela;45,84;14;Remanescente;1;1,5756;0,165;-5,900514;-54,946305
50254;6;5;Chrysophyllum lucentifolium;Goiabão;47,11;14;Remanescente;1;1,6854;0,1743;-5,900311;-54,946573
50255;6;5;Ocotea rubra;Louro-vermelho;130,51;16;Explorar;1;13,3773;1,3377;-5,901884;-54,946605
50256;6;5;Hymenaea parvifolia;Jutaí-mirim;60,48;17;Explorar;1;3,4714;0,2873;-5,902448;-54,946583
50257;6;5;Vochysia maxima;Quaruba;58,89;14;Substituta;1;2,8374;0,2724;-5,902607;-54,946572
50258;6;5;Schizolobium amazonicum;Paricá;42,97;16;Remanescente;1;1,4789;0,145;-5,902967;-54,946612
50259;6;5;Enterolobium schomburgkii;Fava-de-rosca;89,13;15;Remanescente;1;6,8837;0,6239;-5,904361;-54,946489
50260;6;5;Manilkara elata;Maçaranduba;47,11;17;Remanescente;1;1,944;0,1743;-5,904617;-54,946467
50261;6;5;Manilkara elata;Maçaranduba;116,5;16;Substituta;1;11,3034;1,066;-5,904701;-54,946451
50262;6;5;Manilkara elata;Maçaranduba;49,34;18;Remanescente;1;2,2669;0,1912;-5,904913;-54,94656
50263;6;5;Castilla ulei;Caucho;66,85;11;Remanescente;1;3,1169;0,3509;-5,904995;-54,94653
50264;6;5;Manilkara elata;Maçaranduba;68,44;15;Explorar;1;4,123;0,3678;-5,905059;-54,946518
50265;6;5;Manilkara elata;Maçaranduba;79,58;18;Remanescente;1;6,368;0,4974;-5,905808;-54,946577
50266;6;5;Manilkara elata;Maçaranduba;62,71;18;Remanescente;2;3,9159;0,3088;-5,907265;-54,946566
50267;6;5;Apuleia leiocarpa;Garapeira;42,97;16;Remanescente;1;1,4789;0,145;-5,907795;-54,946615
50268;6;5;Parkia gigantocarpa;Fava-atanã;98,68;14;Remanescente;1;7,8234;0,7647;-5,907978;-54,94645
50269;6;5;Manilkara elata;Maçaranduba;43,93;15;Remanescente;1;1,4909;0,1515;-5,908481;-54,946458
50270;6;5;Parkia gigantocarpa;Fava-atanã;89,13;11;Remanescente;1;5,4656;0,6239;-5,908862;-54,946627
50271;6;5;Virola surinamensis;Virola;43,61;16;Remanescente;2;1,5349;0,1494;-5,911523;-54,94656
50272;6;5;Dipteryx odorata;Cumaru;59,52;14;Explorar;2;2,9059;0,2783;-5,911788;-54,946439
50273;6;5;Vochysia maxima;Quaruba;77,03;18;Explorar;1;5,979;0,466;-5,911836;-54,946376
50274;6;5;Ocotea cymbarum;Louro-amarelo;53,16;15;Remanescente;1;2,3657;0,2219;-5,911903;-54,946387
50275;6;5;Astronium lecointei;Muiracatiara;60,48;17;Substituta;1;3,4714;0,2873;-5,912188;-54,946584
50276;6;5;Handroanthus serratifolius;Ipê-amarelo;85,94;24;Explorar;1;9,0584;0,5801;-5,912309;-54,946475
50277;6;5;Caryocar villosum;Pequiá;73,21;10;Explorar;1;3,4959;0,421;-5,9123;-54,946518
50278;6;5;Holopyxidium jarana;Jarana;57,3;17;Explorar;1;3,0782;0,2578;-5,912309;-54,946883
50279;6;5;Holopyxidium jarana;Jarana;45,2;16;Remanescente;1;1,6792;0,1605;-5,912245;-54,946922
50280;6;5;Vochysia maxima;Quaruba;50,93;15;Explorar;1;2,1395;0,2037;-5,91219;-54,946989
50281;6;5;Astronium lecointei;Muiracatiara;94,54;21;Remanescente;1;9,7685;0,7019;-5,912229;-54,946748
50282;6;5;Hymenaea courbaril;Jatobá;93,9;20;Explorar;1;9,3194;0,6925;-5,91208;-54,94673
50283;6;5;Bertholletia excelsa;Castanheira;97,08;13;Remanescente;2;7,2015;0,7403;-5,911448;-54,946763
50284;6;5;Simarouba amara;Marupá;86,58;14;Explorar;1;6,2052;0,5887;-5,910516;-54,946902
50285;6;5;Manilkara elata;Maçaranduba;41,7;15;Remanescente;1;1,3061;0,1366;-5,910091;-54,946861
