Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1984-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);
1993-07-14;0;27,38;81,75;
1993-07-15;0;27,54;87;
1993-07-16;0;27,62;82,25;
1993-07-17;0;27,1;78;
1993-07-18;0;26,62;83,5;
1993-07-19;0;26,64;90;
1993-07-20;0;27;85,5;
1993-07-21;0;26,48;84;
1993-07-22;0;26,96;85,5;
1993-07-23;0;27,64;86,5;
1993-07-24;0;28,02;85,25;
1993-07-25;0;27,18;87,75;
1993-07-26;0;27,46;88,5;
1993-07-27;0;28,54;89;
1993-07-28;0;28,4;87,5;
1993-07-29;0;27,92;85,75;
1993-07-30;0;27,34;84,75;
1993-07-31;0;27,26;89;
1993-08-01;0;27,34;87;
1993-08-02;0;27,74;88,5;
1993-08-03;0;28,16;87,25;
1993-08-04;0;28,06;82,75;
1993-08-05;0;28,5;85,25;
1993-08-06;0;27,12;85,25;
1993-08-07;0;27,9;86;
1993-08-08;0;27,34;84,5;
1993-08-09;0;28,06;83;
1993-08-10;0;28,34;86;
1993-08-11;0;28,86;86,75;
1993-08-12;0;28,14;87,25;
1993-08-13;0;29,02;87;
1993-08-14;0;27,94;88,25;
1993-08-15;0;26,22;96;
1993-08-16;20,6;26,02;91,75;
1993-08-17;0;26,82;90,75;
1993-08-18;0;27,22;90;
1993-08-19;0;27,32;88,75;
1993-08-20;0;28,34;89,75;
1993-08-21;0;25,52;90,5;
1993-08-22;,5;23,84;97;
1993-08-23;7,2;25,04;96;
1993-08-24;0;27,2;89,5;
1993-08-25;0;27,74;89,75;
1993-08-26;0;28,36;88,5;
1993-08-27;0;27,22;91,75;
1993-08-28;0;27,1;92,25;
1993-08-29;0;26,72;91,5;
1993-08-30;0;25,46;94,25;
1993-08-31;0;27,08;90,75;
1993-09-01;0;27,54;91,75;
1993-09-02;0;26,94;90,75;
1993-09-03;0;27,88;89,75;
1993-09-04;0;26,86;89;
1993-09-05;0;26,84;91;
1993-09-06;0;27,54;90,25;
1993-09-07;0;27,9;89,75;
1993-09-08;0;24,74;98;
1993-09-09;6,1;26,98;90,25;
1993-09-10;0;28,2;91;
1993-09-11;0;27,78;91,5;
1993-09-12;0;26,36;91,5;
1993-09-13;8,2;25,2;97;
1993-09-14;12,5;26;93,25;
1993-09-15;0;26,78;90,75;
1993-09-16;0;27,96;89,75;
1993-09-17;0;27,76;90;
1993-09-18;0;27,32;93,25;
1993-09-19;1,3;26,28;93,75;
1993-09-20;18,3;23,7;96,75;
1993-09-21;21,2;26,38;94;
1993-09-22;0;26,74;93,75;
1993-09-23;0;25,94;95,5;
1993-09-24;2,7;25,06;97,25;
1993-09-25;0;24,92;96,25;
1993-09-26;0;26,44;94;
1993-09-27;0;26,24;92,5;
1993-09-28;0;26,18;94,25;
1993-09-29;0;25,02;94,25;
1993-09-30;47,2;25,72;96;
1993-10-01;,1;26,84;94,5;
1993-10-02;0;28,44;91,25;
1993-10-03;0;27,34;95,75;
1993-10-04;,7;26,34;93,75;
1993-10-05;0;26,06;96,25;
1993-10-06;14;28,3;92,75;
1993-10-07;0;28,94;90,25;
1993-10-08;0;24,84;97,5;
1993-10-09;62,2;25,66;95;
1993-10-10;0;28,2;89,25;
1993-10-11;0;29,4;87,5;
1993-10-12;0;29,28;88,5;
1993-10-13;0;26,42;95,25;
1993-10-14;1,2;24,2;97;
1993-10-15;,8;26,26;93,25;
1993-10-16;0;26,4;93,5;
1993-10-17;0;27,44;90,75;
1993-10-18;0;28,42;90,25;
1993-10-19;0;29,2;90,5;
1993-10-20;0;29,02;89,25;
1993-10-21;0;25,68;96,25;
1993-10-22;1;24,32;96,75;
1993-10-23;0;27,14;93,25;
1993-10-24;0;29,24;92;
1993-10-25;0;25,82;97,5;
1993-10-26;108;23,58;97,75;
1993-10-27;0;26,6;96,25;
1993-10-28;0;26,74;95;
1993-10-29;1,3;27,02;93,25;
1993-10-30;0;27,6;89;
1993-10-31;0;27,84;89;
1993-11-01;0;27,82;91,75;
1993-11-02;0;27;96;
1993-11-03;1,3;27,02;94;
1993-11-04;0;25,42;97;
1993-11-05;9,5;24,24;95,75;
1993-11-06;25,5;25,02;95;
1993-11-07;22,9;25,12;95,5;
1993-11-08;6,1;25,94;96;
1993-11-09;6,3;26,12;96,75;
1993-11-10;,3;26,6;92,5;
1993-11-11;0;27,42;89,5;
1993-11-12;0;27,3;89,25;
1993-11-13;0;25,38;92;
1993-11-14;3,6;28,1;90,75;
1993-11-15;0;28,42;88,75;
1993-11-16;0;25,78;91,25;
1993-11-17;1,6;27,44;89,75;
1993-11-18;5,2;23,42;99;
1993-11-19;3,4;26,14;94;
1993-11-20;27,4;24,56;95,5;
1993-11-21;0;27,32;93;
1993-11-22;0;25,96;97,5;
1993-11-23;32,1;25,3;94,75;
1993-11-24;0;27,68;90,5;
1993-11-25;0;27,08;92,75;
1993-11-26;0;28,3;89,75;
1993-11-27;,8;27;94,25;
1993-11-28;0;27,34;91,25;
1993-11-29;0;26,98;95,25;
1993-11-30;8,8;23,4;99;
1993-12-01;7,2;26,4;96,25;
1993-12-02;0;27,16;93,75;
1993-12-03;2,7;26,94;93,5;
1993-12-04;0;26,94;94,75;
1993-12-05;0;27,06;94,25;
1993-12-06;0;25,92;95,75;
1993-12-07;4,9;26,16;93,5;
1993-12-08;0;26,98;96,5;
1993-12-09;10,5;25,9;95,25;
1993-12-10;0;26,12;96,5;
1993-12-11;0;27,6;93;
1993-12-12;0;26,76;95,25;
1993-12-13;0;26,34;95,5;
1993-12-14;26,6;24,96;97,5;
1993-12-15;18;24,94;96,25;
1993-12-16;2;25,78;97,25;
1993-12-17;0;28,02;94,5;
1993-12-18;0;25,68;96,75;
1993-12-19;0;25,14;98,25;
1993-12-20;16,2;24,34;97,75;
1993-12-21;14,5;25,1;96;
1993-12-22;0;24,8;98,5;
1993-12-23;1,2;24,4;97;
1993-12-24;53;23,46;98,25;
1993-12-25;0;24,76;95,25;
1993-12-26;7;23,26;98,75;
1993-12-27;80,3;23,8;96,5;
1993-12-28;0;24,18;98;
1993-12-29;3,5;26,66;93,25;
1993-12-30;0;27,22;94,5;
1993-12-31;0;25,92;94,5;
1994-01-01;9,6;26,92;93;
1994-01-02;0;24,54;97,5;
1994-01-03;1,5;25,72;95;
1994-01-04;,3;26,24;95;
1994-01-05;41,8;23,48;98,5;
1994-01-06;,4;24,02;98,5;
1994-01-07;28,4;24,68;98;
1994-01-08;1,5;24,28;98,25;
1994-01-09;2,5;26,12;95,5;
1994-01-10;0;25,76;96,75;
1994-01-11;0;25,58;94,75;
1994-01-12;30,8;23,78;97,25;
1994-01-13;0;26,32;95;
1994-01-14;13,6;24,36;97;
1994-01-15;3,6;23,24;98,25;
1994-01-16;1,6;25,96;95,5;
1994-01-17;9,4;24,5;97,75;
1994-01-18;6,8;25,7;95,25;
1994-01-19;13,8;26,1;97,5;
1994-01-20;0;24,88;98,25;
1994-01-21;7,8;24,98;98,25;
1994-01-22;63;24,12;97,75;
1994-01-23;17;25,16;97,5;
1994-01-24;0;26,14;97,5;
1994-01-25;22,9;25,2;96,5;
1994-01-26;1,4;25,76;95,25;
1994-01-27;0;27,08;95,75;
1994-01-28;0;26,88;95,25;
1994-01-29;14,4;25,2;95,25;
1994-01-30;4,4;24,72;98,5;
1994-01-31;20,7;23,6;98,75;
1994-02-01;0;25,36;96;
1994-02-02;6,6;26,28;95,5;
1994-02-03;0;25,78;94,75;
1994-02-04;4,2;25,48;96;
1994-02-05;16,8;25,08;96,75;
1994-02-06;18,3;23,44;97,75;
1994-02-07;54,1;25,2;95,5;
1994-02-08;0;26,76;95,25;
1994-02-09;6,2;23,62;97,5;
1994-02-10;15,8;25,46;94,5;
1994-02-11;0;25,34;94,5;
1994-02-12;6,2;25,4;95,5;
1994-02-13;0;25,98;94,75;
1994-02-14;0;26,12;94,75;
1994-02-15;1,2;26,36;95,5;
1994-02-16;0;26,44;94,75;
1994-02-17;0;28,12;93,25;
1994-02-18;0;26,48;94;
1994-02-19;2,3;26;95,25;
1994-02-20;0;25,92;95,5;
1994-02-21;0;25,58;95,25;
1994-02-22;5,4;26,02;94,25;
1994-02-23;0;25,3;96;
1994-02-24;13,3;25,86;95;
1994-02-25;109,9;25;95,5;
1994-02-26;2,9;23,56;99;
1994-02-27;2,5;24,72;96,5;
1994-02-28;13,8;25,76;95,75;
1994-03-01;32;25,44;95,25;
1994-03-02;0;25,38;97;
1994-03-03;1,5;24,5;99;
1994-03-04;57,2;23,84;97,5;
1994-03-05;13,6;23,4;98,5;
1994-03-06;4;23,92;97,25;
1994-03-07;1,4;25,44;94;
1994-03-08;0;25,36;96;
1994-03-09;1,3;25,62;95,25;
1994-03-10;29;25,74;95,25;
1994-03-11;1;25,06;97,5;
1994-03-12;11,9;26,68;94;
1994-03-13;3,6;23,66;97,25;
1994-03-14;1,1;26,36;96;
1994-03-15;2;25,86;96,5;
1994-03-16;0;24,34;98,75;
1994-03-17;18,9;25,24;95,25;
1994-03-18;0;26,52;95;
1994-03-19;0;24,86;95,5;
1994-03-20;14,2;24,4;98;
1994-03-21;50;26,18;94,75;
1994-03-22;16,2;23,34;98,5;
1994-03-23;13,4;24,98;95,25;
1994-03-24;11,2;25,12;97;
1994-03-25;27,4;24,36;98,75;
1994-03-26;7,6;25,36;96,5;
1994-03-27;0;27,64;94,25;
1994-03-28;0;26,9;93;
1994-03-29;19,6;24,28;98;
1994-03-30;9,2;24,08;98,25;
1994-03-31;,6;26,32;96,75;
1994-04-01;3,2;25,8;96,5;
1994-04-02;0;24,7;98,25;
1994-04-03;4,6;26,4;96,25;
1994-04-04;0;27,6;93,75;
1994-04-05;13,8;25,4;98;
1994-04-06;1,3;26,24;93,75;
1994-04-07;0;27,1;92,25;
1994-04-08;0;25,56;98;
1994-04-09;0;25,64;97,75;
1994-04-10;0;23,92;96,75;
1994-04-11;14,9;26,12;96;
1994-04-12;3,3;26,7;96;
1994-04-13;0;26,48;97,75;
1994-04-14;0;25,34;98,25;
1994-04-15;21,9;24,36;98,75;
1994-04-16;14,3;26,46;96,75;
1994-04-17;0;25,9;96;
1994-04-18;0;26,08;94,5;
1994-04-19;3,8;26,44;95,5;
1994-04-20;1;26,9;97,5;
1994-04-21;7,3;25,68;97,75;
1994-04-22;16,6;26,24;94,75;
1994-04-23;0;27,82;92;
1994-04-24;0;28,32;93,25;
1994-04-25;0;27,34;92,75;
1994-04-26;0;28,12;90,5;
1994-04-27;0;27,44;94;
1994-04-28;0;26,92;94,25;
1994-04-29;1;27,1;92,75;
1994-04-30;0;27,34;92,75;
1994-05-01;0;27,62;93;
1994-05-02;0;26,76;87,5;
1994-05-03;0;27,06;78,25;
1994-05-04;0;28,12;72;
1994-05-05;0;28,38;69;
1994-05-06;5,5;25,52;90,25;
1994-05-07;9,6;27,62;77,25;
1994-05-08;0;27,4;75,5;
1994-05-09;0;28,18;68,75;
1994-05-10;0;27,62;79;
1994-05-11;,8;28,56;75,25;
1994-05-12;0;28,02;77;
1994-05-13;0;28,28;75;
1994-05-14;0;28,84;69,75;
1994-05-15;0;27,3;74;
1994-05-16;,9;26,54;82,5;
1994-05-17;0;27,48;78,25;
1994-05-18;0;27,22;80,25;
1994-05-19;0;27,42;77,5;
1994-05-20;0;28,2;72,5;
1994-05-21;0;28,84;69;
1994-05-22;0;28,32;72,75;
1994-05-23;0;28,44;79,5;
1994-05-24;14;26,36;83,5;
1994-05-25;0;27,96;79;
1994-05-26;0;27,4;80;
1994-05-27;,3;26,74;80,5;
1994-05-28;0;24,42;94;
1994-05-29;11;24,76;87,5;
1994-05-30;1,2;26,34;83,25;
1994-05-31;0;26,98;74,25;
1994-06-01;0;27,36;72,25;
1994-06-02;0;27,78;69,5;
1994-06-03;0;27,88;69,75;
1994-06-04;0;26,06;79,5;
1994-06-05;0;26,98;81,25;
1994-06-06;0;26,38;81,25;
1994-06-07;0;26,96;76,75;
1994-06-08;2;26,88;80,5;
1994-06-09;0;27,1;76,25;
1994-06-10;0;27,46;70,5;
1994-06-11;0;27,18;67,5;
1994-06-12;0;27,16;67,5;
1994-06-13;0;27,64;70,25;
1994-06-14;0;27,98;69,75;
1994-06-15;0;26,34;76,5;
1994-06-16;0;27,34;71;
1994-06-17;0;27,76;70,75;
1994-06-18;0;27,5;74,5;
1994-06-19;0;27,86;70,25;
1994-06-20;0;27,36;82;
1994-06-21;5,4;26,68;79;
1994-06-22;0;25,94;82;
1994-06-23;,5;27,16;70,25;
1994-06-24;0;27,16;73,5;
1994-06-25;0;26,64;78,5;
1994-06-26;5,4;23,56;88,5;
1994-06-27;0;25,72;71,25;
1994-06-28;5,8;24,44;89,75;
1994-06-29;,4;25,98;80,5;
1994-06-30;4;25,4;79,75;
1994-07-01;0;26,54;72,5;
1994-07-02;0;26,92;67,25;
1994-07-03;0;27,28;61,75;
1994-07-04;0;26,88;68;
1994-07-05;0;27,04;62,25;
1994-07-06;0;25,8;64,25;
1994-07-07;0;22,7;63;
1994-07-08;0;27;62,25;
1994-07-09;0;27,24;64,25;
1994-07-10;0;24,38;68,25;
1994-07-11;0;26,04;60,25;
1994-07-12;0;26,1;63,75;
1994-07-13;0;26,48;64,75;
1994-07-14;0;27,1;65;
1994-07-15;0;27,08;61,5;
1994-07-16;0;27,2;63;
1994-07-17;0;28,04;63;
1994-07-18;0;27,34;61;
1994-07-19;0;27,06;59,75;
1994-07-20;0;27,18;63,25;
1994-07-21;0;27,18;66;
1994-07-22;0;27,24;59,5;
1994-07-23;0;27,5;63;
1994-07-24;0;27,4;61,75;
1994-07-25;0;27,86;63;
1994-07-26;0;27,96;58;
1994-07-27;0;27,1;56;
1994-07-28;0;27,26;61,25;
1994-07-29;0;28,16;57;
1994-07-30;0;26,48;55;
1994-07-31;0;26,52;53;
1994-08-01;0;26,1;54,25;
1994-08-02;0;27,16;52,5;
1994-08-03;0;27,36;58;
1994-08-04;0;27,24;57;
1994-08-05;0;28,16;60,75;
1994-08-06;0;27,74;64;
1994-08-07;0;26,68;68,5;
1994-08-08;0;27,08;67;
1994-08-09;0;27,52;66,75;
1994-08-10;0;27,16;60,5;
1994-08-11;0;26,8;53;
1994-08-12;0;27,78;54,25;
1994-08-13;0;28,4;57;
1994-08-14;0;28,08;53,25;
1994-08-15;0;28,34;49,75;
1994-08-16;0;27,82;51,75;
1994-08-17;0;27,88;51,25;
1994-08-18;0;26,7;49,75;
1994-08-19;0;26,78;55;
1994-08-20;0;28,82;55;
1994-08-21;0;28,04;52,75;
1994-08-22;0;28,74;50,75;
1994-08-23;0;28,52;53,5;
1994-08-24;0;28,88;57,75;
1994-08-25;0;27,74;68,25;
1994-08-26;0;28,48;64,25;
1994-08-27;0;28,26;61;
1994-08-28;0;29,02;57;
1994-08-29;0;28,48;62,5;
1994-08-30;0;26,7;68,25;
1994-08-31;0;27,66;72,25;
1994-09-01;0;28,9;64;
1994-09-02;0;27,76;71,5;
1994-09-03;0;26,62;76,75;
1994-09-04;0;26,92;75,25;
1994-09-05;,1;26,86;82;
1994-09-06;1,6;27,94;77,5;
1994-09-07;5,7;27,82;70,25;
1994-09-08;0;28,12;68,25;
1994-09-09;0;28,56;68;
1994-09-10;,9;27,28;76;
1994-09-11;5,8;27,48;75,75;
1994-09-12;0;28,56;62,25;
1994-09-13;0;28,66;62,25;
1994-09-14;0;28,36;65,5;
1994-09-15;0;28,88;62,5;
1994-09-16;0;28,94;62,25;
1994-09-17;0;29,56;59,5;
1994-09-18;0;29,74;61,5;
1994-09-19;0;28,86;52,25;
1994-09-20;0;27,8;61,25;
1994-09-21;0;27,98;50,5;
1994-09-22;0;27,86;54,5;
1994-09-23;0;29,06;52,75;
1994-09-24;0;28,56;52,25;
1994-09-25;0;29,1;55,75;
1994-09-26;0;29,12;62;
1994-09-27;0;25,74;79,5;
1994-09-28;62,4;25,12;78;
1994-09-29;0;24,98;79,25;
1994-09-30;0;26,9;74,5;
1994-10-01;0;28,56;67,75;
1994-10-02;0;29,26;65;
1994-10-03;0;29,86;58,25;
1994-10-04;0;30,58;60,25;
1994-10-05;0;26,08;81;
1994-10-06;7,8;25,84;78;
1994-10-07;0;25,16;82,75;
1994-10-08;26,4;27,64;69,5;
1994-10-09;0;25,76;78,75;
1994-10-10;0;27,46;80,75;
1994-10-11;3,4;28,34;70,5;
1994-10-12;0;28,02;78,75;
1994-10-13;2,8;28,38;71,5;
1994-10-14;0;26,86;79;
1994-10-15;0;26,92;71,5;
1994-10-16;0;25,64;82,75;
1994-10-17;3,5;25,64;81,75;
1994-10-18;0;24,48;91,25;
1994-10-19;8,8;27,1;73,75;
1994-10-20;0;24,2;93,5;
1994-10-21;42,2;24,4;85,75;
1994-10-22;1,6;27,12;76,75;
1994-10-23;0;26,14;81,25;
1994-10-24;,4;26,44;81,25;
1994-10-25;13;26,06;86;
1994-10-26;1,4;26,06;89,75;
1994-10-27;0;27;81;
1994-10-28;0;27,78;78,5;
1994-10-29;0;27,54;81;
1994-10-30;,4;23,76;88,75;
1994-10-31;8,8;26,56;76;
1994-11-01;0;28,2;68,75;
1994-11-02;0;27,86;69,25;
1994-11-03;0;28,84;68,75;
1994-11-04;0;26,26;79;
1994-11-05;25,4;27,26;74;
1994-11-06;0;28,76;74,5;
1994-11-07;,6;29,5;67,75;
1994-11-08;0;28,96;70,5;
1994-11-09;0;28,96;69;
1994-11-10;0;26,14;84;
1994-11-11;17,2;27,98;77,25;
1994-11-12;0;27,02;90,25;
1994-11-13;12,1;26,74;83;
1994-11-14;,8;26,86;80,5;
1994-11-15;0;26,18;85,75;
1994-11-16;,1;25,82;87,75;
1994-11-17;88,4;25,22;84;
1994-11-18;6,2;26,34;82;
1994-11-19;0;26,08;91,25;
1994-11-20;117;24,26;97;
1994-11-21;,2;25,5;91,75;
1994-11-22;39,4;23,04;95,75;
1994-11-23;,2;25,5;85,5;
1994-11-24;0;25,98;92,75;
1994-11-25;39,7;23,3;97,75;
1994-11-26;2,2;24,06;91,25;
1994-11-27;1;25,44;88;
1994-11-28;10;25,28;86,75;
1994-11-29;14,8;25,74;82,75;
1994-11-30;23,6;24,58;89,5;
1994-12-01;3,3;25,74;90,25;
1994-12-02;0;27,88;76,75;
1994-12-03;0;26,46;86;
1994-12-04;,2;26,42;76,25;
1994-12-05;0;25,9;88;
1994-12-06;23,4;24,56;91,75;
1994-12-07;11,3;26,36;79;
1994-12-08;0;28,46;77,75;
1994-12-09;0;26,14;80,25;
1994-12-10;7,6;27,38;77,5;
1994-12-11;0;26,56;88;
1994-12-12;10,9;25,42;86,5;
1994-12-13;71,3;26,12;84,75;
1994-12-14;0;25,9;84,5;
1994-12-15;0;27,76;75,5;
1994-12-16;0;25,74;84,5;
1994-12-17;9,2;25,96;89,75;
1994-12-18;0;26;91,5;
1994-12-19;16,3;25,62;87;
1994-12-20;1,8;25,5;88,75;
1994-12-21;43,2;25,2;91,25;
1994-12-22;7;23,98;95,75;
1994-12-23;0;24,94;90,5;
1994-12-24;8,2;25,56;84,5;
1994-12-25;11,6;24,92;92,5;
1994-12-26;14,6;24,46;92;
1994-12-27;5,4;24,84;85,75;
1994-12-28;3,7;24,38;86,75;
1994-12-29;11,4;25,88;82,75;
1994-12-30;,6;25,66;92,5;
1994-12-31;1,3;26,14;84,5;
1995-01-01;1,4;25,26;90;
1995-01-02;10,9;26,04;88,25;
1995-01-03;1,9;25,18;94,75;
1995-01-04;8,3;23,7;93,5;
1995-01-05;,1;24,78;89;
1995-01-06;17,2;23,82;92,5;
1995-01-07;1,5;24,9;88;
1995-01-08;4,4;24,52;92;
1995-01-09;13;25,06;88,75;
1995-01-10;,3;24,92;84,25;
1995-01-11;1,3;24,54;91;
1995-01-12;5,1;25,26;90,25;
1995-01-13;,1;25;88;
1995-01-14;2,3;24,66;88,25;
1995-01-15;16;25,26;83,75;
1995-01-16;14,4;27,2;79,25;
1995-01-17;0;25,3;85;
1995-01-18;28;25,06;84;
1995-01-19;0;27,1;70,5;
1995-01-20;,4;25,7;81,75;
1995-01-21;5;27,74;74,5;
1995-01-22;0;25,3;92;
1995-01-23;25,4;25,66;83,75;
1995-01-24;22,4;26,24;85,5;
1995-01-25;,5;25,4;87,25;
1995-01-26;9,3;26,56;84,75;
1995-01-27;0;26,66;80,75;
1995-01-28;0;26,4;84,25;
1995-01-29;,7;27,16;84,25;
1995-01-30;0;27,06;87;
1995-01-31;0;27,5;80;
1995-02-01;0;26,48;91;
1995-02-02;4,4;24,26;94,75;
1995-02-03;37,3;24,1;94,5;
1995-02-04;56,6;23,7;94,75;
1995-02-05;14,4;24,04;94;
1995-02-06;8,4;25,48;88,5;
1995-02-07;,4;26,32;85,75;
1995-02-08;0;25,1;88,75;
1995-02-09;18,7;23,7;95,25;
1995-02-10;11,9;24,9;88,25;
1995-02-11;1,1;25,62;88,5;
1995-02-12;47,2;24,76;92,5;
1995-02-13;35,1;25,7;85;
1995-02-14;0;25,34;92,75;
1995-02-15;17,4;24,84;91;
1995-02-16;1,2;25,42;85,5;
1995-02-17;1,3;26,5;85,75;
1995-02-18;6,3;25,48;86,75;
1995-02-19;0;24,3;93,25;
1995-02-20;9,5;24,08;95,25;
1995-02-21;2,4;26,06;81,5;
1995-02-22;12,2;25,04;89,25;
1995-02-23;0;26,1;84,25;
1995-02-24;,2;26,86;73,75;
1995-02-25;19,2;24,76;91;
1995-02-26;2,9;25,36;86,5;
1995-02-27;0;26,6;80,25;
1995-02-28;0;25,88;84,5;
1995-03-01;0;27,18;81,25;
1995-03-02;0;26,92;80,75;
1995-03-03;1,5;27,3;77,25;
1995-03-04;,5;26;85;
1995-03-05;9,7;26,64;86,25;
1995-03-06;4,2;27,02;85,75;
1995-03-07;3,6;27,98;75,25;
1995-03-08;2,7;27,42;79,75;
1995-03-09;12,6;25,4;95,25;
1995-03-10;27,5;25,88;83,75;
1995-03-11;0;25,9;80;
1995-03-12;9,1;27,64;75,25;
1995-03-13;0;26,82;80,25;
1995-03-14;18,4;25,64;92,75;
1995-03-15;3,9;26,08;81,75;
1995-03-16;0;27,18;81,5;
1995-03-17;0;27,98;81,5;
1995-03-18;3,9;24,3;90,75;
1995-03-19;9;26,28;86,5;
1995-03-20;0;28,38;78,5;
1995-03-21;0;27,92;77,25;
1995-03-22;0;28,3;78,5;
1995-03-23;0;26,24;82,75;
1995-03-24;6,7;25,3;86,5;
1995-03-25;0;26,64;84,25;
1995-03-26;0;27,3;82;
1995-03-27;1,9;26,02;83,75;
1995-03-28;0;26,92;83;
1995-03-29;95;25,54;92;
1995-03-30;1,2;26,6;87;
1995-03-31;0;26,52;84,5;
1995-04-01;0;27,22;85,25;
1995-04-02;57,2;25,58;89;
1995-04-03;0;28,12;79,5;
1995-04-04;0;26,04;86,75;
1995-04-05;15;26,12;87,75;
1995-04-06;24,8;25,32;95;
1995-04-07;3,7;27,56;82,5;
1995-04-08;0;27,32;81,25;
1995-04-09;31;24,42;94;
1995-04-10;0;25,92;85,75;
1995-04-11;1,9;25,4;90;
1995-04-12;,4;27,16;80,25;
1995-04-13;0;27,52;78,75;
1995-04-14;15;24,36;95,75;
1995-04-15;,9;25,8;85,25;
1995-04-16;13,2;26,7;92;
1995-04-17;15,6;25,16;93,75;
1995-04-18;0;23,96;97;
1995-04-19;44,5;24,44;96;
1995-04-20;8,6;25,88;87,75;
1995-04-21;0;26,84;86,75;
1995-04-22;5;26,76;85,75;
1995-04-23;10;25,48;91;
1995-04-24;6;26,12;86;
1995-04-25;,2;27,06;84;
1995-04-26;4,6;26,5;84,5;
1995-04-27;16,7;26,04;90;
1995-04-28;,4;26,08;87,75;
1995-04-29;0;27,08;83,75;
1995-04-30;0;27,58;82,5;
1995-05-01;0;26,74;85,25;
1995-05-02;0;25,88;90,5;
1995-05-03;0;25,84;83,75;
1995-05-04;0;25,92;96;
1995-05-05;16,3;25,54;92,25;
1995-05-06;0;26;94,5;
1995-05-07;68,7;25,62;95;
1995-05-08;,2;25,4;95;
1995-05-09;2,1;26,04;91,5;
1995-05-10;,8;27,82;79,5;
1995-05-11;0;26,64;84,75;
1995-05-12;,9;26,42;87,25;
1995-05-13;,3;27,32;83,5;
1995-05-14;,8;27,04;82,5;
1995-05-15;0;28,26;77,75;
1995-05-16;0;28,38;76,25;
1995-05-17;,3;28,64;74,5;
1995-05-18;0;27,6;75,5;
1995-05-19;0;27,52;77,5;
1995-05-20;0;25,56;90,75;
1995-05-21;0;26,8;82,75;
1995-05-22;67,9;23,52;96;
1995-05-23;18,8;25,44;87;
1995-05-24;60,3;23,44;97,75;
1995-05-25;1,8;25,14;88,5;
1995-05-26;2,6;25,94;85;
1995-05-27;0;24,9;94,75;
1995-05-28;2,7;26,4;85;
1995-05-29;0;26,62;79,5;
1995-05-30;,1;26,06;81,25;
1995-05-31;0;27,16;78,5;
1995-06-01;0;27,22;77,5;
1995-06-02;0;26,48;76;
1995-06-03;0;26,34;71;
1995-06-04;0;27,12;71;
1995-06-05;0;26,56;73,25;
1995-06-06;0;26,2;70,5;
1995-06-07;0;26,36;70,25;
1995-06-08;0;25,9;69,5;
1995-06-09;0;26,42;70;
1995-06-10;0;27,2;70,5;
1995-06-11;0;26,78;71;
1995-06-12;0;26,7;67,5;
1995-06-13;0;27,38;69,5;
1995-06-14;0;26,84;71;
1995-06-15;0;26,82;68,5;
1995-06-16;0;27;70,75;
1995-06-17;0;27,66;71,5;
1995-06-18;0;27,3;69;
1995-06-19;0;26,72;66,75;
1995-06-20;0;26,5;67,5;
1995-06-21;0;26,3;67;
1995-06-22;0;26,74;67,25;
1995-06-23;0;26,46;70;
1995-06-24;0;26,64;69,75;
1995-06-25;0;26,92;69,25;
1995-06-26;0;26,16;67,5;
1995-06-27;0;28,92;67,5;
1995-06-28;,2;27,86;68;
1995-06-29;0;27,4;66,5;
1995-06-30;0;27,58;65,25;
1995-07-01;0;27,36;66,25;
1995-07-02;0;27,98;67,5;
1995-07-03;0;28,76;65,25;
1995-07-04;0;28,18;69,25;
1995-07-05;0;27,6;67,75;
1995-07-06;0;27,58;63,25;
1995-07-07;0;26,94;64;
1995-07-08;0;27,2;66,5;
1995-07-09;0;27,48;66,5;
1995-07-10;0;27,76;62,25;
1995-07-11;0;27,36;64,5;
1995-07-12;0;26,66;63;
1995-07-13;0;25,52;55,75;
1995-07-14;0;25,1;56,25;
1995-07-15;0;26,14;59;
1995-07-16;0;27,46;63,25;
1995-07-17;0;26,6;61,25;
1995-07-18;0;27,28;59,25;
1995-07-19;0;26,86;60,75;
1995-07-20;0;27,76;59,5;
1995-07-21;0;27,02;62,5;
1995-07-22;0;26,6;64,25;
1995-07-23;0;27,38;57,5;
1995-07-24;0;27,54;59,5;
1995-07-25;0;28,1;60,25;
1995-07-26;0;27,96;60,75;
1995-07-27;0;27,54;61,5;
1995-07-28;0;27,04;56;
1995-07-29;0;27,36;58;
1995-07-30;0;28,76;57,25;
1995-07-31;0;27,64;57,25;
1995-08-01;0;28,58;55,5;
1995-08-02;0;29,28;60;
1995-08-03;0;28,82;60;
1995-08-04;0;27,94;60;
1995-08-05;0;27,1;57,5;
1995-08-06;0;28,88;62,25;
1995-08-07;0;29,1;60,75;
1995-08-08;0;28,42;53,5;
1995-08-09;0;26,68;56,5;
1995-08-10;0;27,16;55,75;
1995-08-11;0;28,32;55,75;
1995-08-12;0;28,42;54,25;
1995-08-13;0;27,9;51,75;
1995-08-14;0;27,98;52,75;
1995-08-15;0;28,94;54,25;
