"x"
"Cedrela odorata"
"Micropholis melinoniana"
"Bagassa guianensis"
"Manilkara elata"
"Simarouba amara"
"Holopyxidium jarana"
"Brosimum parinarioides"
"Castilla ulei"
"Buchenavia grandis"
"Caryocar glabrum"
"Micropholis melinoniana"
"Hymenaea parvifolia"
"Handroanthus serratifolius"
"Apuleia leiocarpa"
"Micropholis melinoniana"
"Manilkara elata"
"Couratari guianensis"
"Buchenavia grandis"
"Buchenavia grandis"
"Hymenaea parvifolia"
"Castilla ulei"
"Cedrela odorata"
"Hymenaea parvifolia"
"Hymenaea parvifolia"
"Hymenaea parvifolia"
"Parkia gigantocarpa"
"Parkia pendula"
"Buchenavia grandis"
"Apuleia leiocarpa"
"Hymenaea courbaril"
"Hymenaea courbaril"
"Apuleia leiocarpa"
"Cedrela odorata"
"Hevea brasiliensis"
"Simarouba amara"
"Apuleia leiocarpa"
"Micropholis melinoniana"
"Hymenaea parvifolia"
"Micropholis melinoniana"
"Couratari guianensis"
"Simarouba amara"
"Simarouba amara"
"Micropholis melinoniana"
"Simarouba amara"
"Couratari guianensis"
"Handroanthus impetiginosum"
"Parkia gigantocarpa"
"Micropholis melinoniana"
"Manilkara elata"
"Goupia glabra"
"Goupia glabra"
"Parkia gigantocarpa"
"Goupia glabra"
"Manilkara elata"
"Buchenavia parvifolia"
"Couratari guianensis"
"Bagassa guianensis"
"Enterolobium maximum"
"Manilkara elata"
"Lecythis pisonis"
"Holopyxidium jarana"
"Buchenavia parvifolia"
"Couratari guianensis"
"Hevea brasiliensis"
"Simarouba amara"
"Lecythis pisonis"
"Handroanthus serratifolius"
"Goupia glabra"
"Goupia glabra"
"Simarouba amara"
"Manilkara elata"
"Hymenaea courbaril"
"Bertholletia excelsa"
"Caryocar villosum"
"Bertholletia excelsa"
"Enterolobium maximum"
"Manilkara elata"
"Parkia gigantocarpa"
"Holopyxidium jarana"
"Vatairea paraensis"
"Manilkara elata"
"Goupia glabra"
"Bertholletia excelsa"
"Virola surinamensis"
"Brosimum parinarioides"
"Hymenaea parvifolia"
"Chrysophyllum lucentifolium"
"Goupia glabra"
"Brosimum parinarioides"
"Holopyxidium jarana"
"Manilkara elata"
"Goupia glabra"
"Parkia gigantocarpa"
"Vochysia maxima"
"Manilkara elata"
"Goupia glabra"
"Bertholletia excelsa"
"Couratari guianensis"
"Manilkara elata"
"Dipteryx odorata"
"Astronium lecointei"
"Vochysia maxima"
"Astronium lecointei"
"Bertholletia excelsa"
"Goupia glabra"
"Buchenavia grandis"
"Manilkara elata"
"Manilkara elata"
"Parkia gigantocarpa"
"Hymenaea courbaril"
"Schizolobium amazonicum"
"Enterolobium schomburgkii"
"Couratari guianensis"
"Bertholletia excelsa"
"Astronium lecointei"
"Vochysia maxima"
"Lecythis pisonis"
"Cedrelinga cateniformis"
"Manilkara elata"
"Astronium lecointei"
"Manilkara elata"
"Castilla ulei"
"Handroanthus impetiginosum"
"Bertholletia excelsa"
"Goupia glabra"
"Handroanthus serratifolius"
"Manilkara elata"
"Parkia gigantocarpa"
"Manilkara elata"
"Goupia glabra"
"Couratari guianensis"
"Hymenaea parvifolia"
"Hymenaea courbaril"
"Hymenaea parvifolia"
"Hymenaea parvifolia"
"Parkia gigantocarpa"
"Hymenaea parvifolia"
"Pseudopiptadenia psilostachya"
"Vochysia maxima"
"Caryocar villosum"
"Goupia glabra"
"Goupia glabra"
"Manilkara elata"
"Chrysophyllum lucentifolium"
"Cedrela odorata"
"Trattinnickia rhoifolia"
"Holopyxidium jarana"
"Manilkara elata"
"Goupia glabra"
"Manilkara elata"
"Brosimum parinarioides"
"Parkia pendula"
"Goupia glabra"
"Pseudopiptadenia psilostachya"
"Hymenaea courbaril"
"Manilkara elata"
"Goupia glabra"
"Manilkara elata"
"Caryocar villosum"
"Manilkara elata"
"Hymenolobium petraeum"
"Castilla ulei"
"Hymenaea courbaril"
"Goupia glabra"
"Parkia gigantocarpa"
"Copaifera duckei"
"Hymenaea parvifolia"
"Apuleia leiocarpa"
"Caryocar villosum"
"Parkia pendula"
"Goupia glabra"
"Hymenaea parvifolia"
"Goupia glabra"
"Goupia glabra"
"Copaifera duckei"
"Hymenaea parvifolia"
"Castilla ulei"
"Castilla ulei"
"Manilkara elata"
"Goupia glabra"
"Bertholletia excelsa"
"Manilkara elata"
"Hymenaea parvifolia"
"Hymenaea parvifolia"
"Castilla ulei"
"Parkia pendula"
"Manilkara elata"
"Hymenaea parvifolia"
"Buchenavia grandis"
"Manilkara elata"
"Buchenavia grandis"
"Buchenavia grandis"
"Dipteryx odorata"
"Manilkara elata"
"Hymenaea parvifolia"
"Vatairea paraensis"
"Goupia glabra"
"Enterolobium schomburgkii"
"Vatairea paraensis"
"Castilla ulei"
"Castilla ulei"
"Hymenaea parvifolia"
"Couratari guianensis"
"Lecythis pisonis"
"Couratari guianensis"
"Couratari guianensis"
"Trattinnickia rhoifolia"
"Manilkara elata"
"Goupia glabra"
"Castilla ulei"
"Astronium lecointei"
"Couratari guianensis"
"Castilla ulei"
"Chrysophyllum lucentifolium"
"Lecythis pisonis"
"Hymenolobium petraeum"
"Manilkara elata"
"Mezilaurus itauba"
"Dipteryx odorata"
"Manilkara elata"
"Pseudopiptadenia psilostachya"
"Manilkara elata"
"Manilkara elata"
"Handroanthus impetiginosum"
"Manilkara elata"
"Astronium lecointei"
"Cedrela odorata"
"Chrysophyllum lucentifolium"
"Handroanthus impetiginosum"
"Manilkara elata"
"Caryocar villosum"
"Enterolobium schomburgkii"
"Chrysophyllum lucentifolium"
"Dipteryx odorata"
"Manilkara elata"
"Couratari guianensis"
"Goupia glabra"
"Handroanthus serratifolius"
"Goupia glabra"
"Cedrela odorata"
"Manilkara elata"
"Astronium lecointei"
"Manilkara elata"
"Copaifera duckei"
"Bertholletia excelsa"
"Handroanthus serratifolius"
"Bertholletia excelsa"
"Handroanthus serratifolius"
"Dipteryx odorata"
"Castilla ulei"
"Castilla ulei"
"Hymenaea courbaril"
"Cedrela odorata"
"Hymenaea parvifolia"
"Apuleia leiocarpa"
"Virola surinamensis"
"Lecythis pisonis"
"Handroanthus serratifolius"
"Cariniana micrantha"
"Goupia glabra"
"Lecythis pisonis"
"Manilkara elata"
"Couratari guianensis"
"Simarouba amara"
"Goupia glabra"
"Ocotea rubra"
"Hymenaea courbaril"
"Goupia glabra"
"Goupia glabra"
"Manilkara elata"
"Manilkara elata"
"Cariniana micrantha"
"Parkia pendula"
"Simarouba amara"
"Goupia glabra"
"Protium heptaphyllum"
"Manilkara elata"
"Parkia gigantocarpa"
"Goupia glabra"
"Manilkara elata"
"Goupia glabra"
"Manilkara elata"
"Ocotea rubra"
"Goupia glabra"
"Goupia glabra"
"Parkia pendula"
"Hymenolobium petraeum"
"Bertholletia excelsa"
"Hymenolobium petraeum"
"Caryocar glabrum"
"Holopyxidium jarana"
"Caryocar villosum"
"Caryocar villosum"
"Goupia glabra"
"Enterolobium maximum"
"Goupia glabra"
"Manilkara elata"
"Dipteryx odorata"
"Manilkara elata"
"Buchenavia capitata"
"Castilla ulei"
"Hymenaea parvifolia"
"Chrysophyllum lucentifolium"
"Handroanthus serratifolius"
"Goupia glabra"
"Manilkara elata"
"Astronium lecointei"
"Handroanthus serratifolius"
"Apuleia leiocarpa"
"Cedrelinga cateniformis"
"Manilkara elata"
"Diplotropis purpurea"
"Manilkara elata"
"Lecythis pisonis"
"Holopyxidium jarana"
"Goupia glabra"
"Manilkara elata"
"Enterolobium spp."
"Chrysophyllum lucentifolium"
"Manilkara elata"
"Goupia glabra"
"Hymenaea courbaril"
"Mezilaurus itauba"
"Holopyxidium jarana"
"Hymenaea courbaril"
"Bagassa guianensis"
"Parkia pendula"
"Goupia glabra"
"Parkia pendula"
"Parkia gigantocarpa"
"Parkia gigantocarpa"
"Vochysia maxima"
"Couratari guianensis"
"Goupia glabra"
"Bertholletia excelsa"
"Hymenolobium petraeum"
"Ocotea baturitensis"
"Goupia glabra"
"Parkia gigantocarpa"
"Ocotea cymbarum"
"Cedrelinga cateniformis"
"Copaifera duckei"
"Ruizterania albiflora"
"Apuleia leiocarpa"
"Couratari guianensis"
"Hevea brasiliensis"
"Manilkara elata"
"Cedrela odorata"
"Manilkara paraensis"
"Castilla ulei"
"Lecythis pisonis"
"Hymenolobium petraeum"
"Parkia gigantocarpa"
"Lecythis pisonis"
"Goupia glabra"
"Bertholletia excelsa"
"Dipteryx odorata"
"Ocotea baturitensis"
"Mezilaurus itauba"
"Dipteryx odorata"
"Manilkara elata"
"Dipteryx odorata"
"Brosimum parinarioides"
"Brosimum parinarioides"
"Apuleia leiocarpa"
"Astronium lecointei"
"Enterolobium maximum"
"Castilla ulei"
"Virola surinamensis"
"Micropholis melinoniana"
"Goupia glabra"
"Goupia glabra"
"Goupia glabra"
"Goupia glabra"
"Manilkara paraensis"
"Hevea brasiliensis"
"Couratari guianensis"
"Ocotea baturitensis"
"Ocotea cymbarum"
"Mezilaurus itauba"
"Vochysia maxima"
"Ocotea cymbarum"
"Ocotea cymbarum"
"Manilkara elata"
"Hymenolobium petraeum"
"Manilkara elata"
"Virola surinamensis"
"Apuleia leiocarpa"
"Cedrelinga cateniformis"
"Castilla ulei"
"Goupia glabra"
"Manilkara elata"
"Brosimum parinarioides"
"Manilkara elata"
"Chrysophyllum lucentifolium"
"Astronium lecointei"
"Bagassa guianensis"
"Hymenaea parvifolia"
"Micropholis melinoniana"
"Astronium lecointei"
"Cedrela odorata"
"Holopyxidium jarana"
"Apuleia leiocarpa"
"Handroanthus serratifolius"
"Hymenolobium petraeum"
"Enterolobium maximum"
"Lecythis pisonis"
"Apuleia leiocarpa"
"Cedrela odorata"
"Apuleia leiocarpa"
"Handroanthus serratifolius"
"Chrysophyllum lucentifolium"
"Hymenaea courbaril"
"Goupia glabra"
"Hevea brasiliensis"
"Bertholletia excelsa"
"Hevea brasiliensis"
"Goupia glabra"
"Buchenavia grandis"
"Trattinnickia rhoifolia"
"Bagassa guianensis"
"Cedrela odorata"
"Apuleia leiocarpa"
"Goupia glabra"
"Manilkara elata"
"Castilla ulei"
"Cedrela odorata"
"Parkia gigantocarpa"
"Parkia gigantocarpa"
"Lecythis pisonis"
"Castilla ulei"
"Parkia gigantocarpa"
"Manilkara elata"
"Manilkara elata"
"Bertholletia excelsa"
"Parkia pendula"
"Lecythis pisonis"
"Castilla ulei"
"Goupia glabra"
"Goupia glabra"
"Apuleia leiocarpa"
"Apuleia leiocarpa"
"Castilla ulei"
"Handroanthus serratifolius"
"Astronium lecointei"
"Buchenavia grandis"
"Manilkara elata"
"Chrysophyllum lucentifolium"
"Chrysophyllum lucentifolium"
"Pseudopiptadenia psilostachya"
"Manilkara elata"
"Hymenaea parvifolia"
"Bertholletia excelsa"
"Castilla ulei"
"Bertholletia excelsa"
"Holopyxidium jarana"
"Simarouba amara"
"Bertholletia excelsa"
"Manilkara elata"
"Bertholletia excelsa"
"Parkia gigantocarpa"
"Vatairea paraensis"
"Bagassa guianensis"
"Astronium lecointei"
"Manilkara elata"
"Castilla ulei"
"Couratari guianensis"
"Castilla ulei"
"Apuleia leiocarpa"
"Handroanthus serratifolius"
"Hymenolobium petraeum"
"Pseudopiptadenia psilostachya"
"Bagassa guianensis"
"Handroanthus serratifolius"
"Cedrela odorata"
"Hymenaea parvifolia"
"Manilkara elata"
"Copaifera duckei"
"Couratari guianensis"
"Hymenolobium petraeum"
"Couratari guianensis"
"Micropholis melinoniana"
"Couratari guianensis"
"Micropholis melinoniana"
"Hymenaea parvifolia"
"Micropholis melinoniana"
"Couratari guianensis"
"Manilkara elata"
"Apuleia leiocarpa"
"Castilla ulei"
"Handroanthus serratifolius"
"Handroanthus impetiginosum"
"Apuleia leiocarpa"
"Handroanthus serratifolius"
"Caryocar glabrum"
"Hevea brasiliensis"
"Parkia gigantocarpa"
"Simarouba amara"
"Goupia glabra"
"Goupia glabra"
"Goupia glabra"
"Enterolobium maximum"
"Goupia glabra"
"Goupia glabra"
"Handroanthus serratifolius"
"Vatairea paraensis"
"Manilkara elata"
"Goupia glabra"
"Parkia gigantocarpa"
"Trattinnickia rhoifolia"
"Trattinnickia rhoifolia"
"Goupia glabra"
"Mezilaurus itauba"
"Goupia glabra"
"Dipteryx odorata"
"Marmaroxylon racemosum"
"Manilkara elata"
"Chrysophyllum lucentifolium"
"Manilkara elata"
"Manilkara elata"
"Manilkara elata"
"Manilkara elata"
"Caryocar glabrum"
"Goupia glabra"
"Goupia glabra"
"Goupia glabra"
"Trattinnickia rhoifolia"
"Cedrelinga cateniformis"
"Caryocar glabrum"
"Manilkara elata"
"Caryocar glabrum"
"Brosimum parinarioides"
"Couratari guianensis"
"Castilla ulei"
"Bertholletia excelsa"
"Ocotea rubra"
"Couratari guianensis"
"Manilkara elata"
"Goupia glabra"
"Manilkara elata"
"Ocotea rubra"
"Caryocar glabrum"
"Cedrelinga cateniformis"
"Manilkara elata"
"Manilkara elata"
"Bagassa guianensis"
"Manilkara elata"
"Manilkara elata"
"Goupia glabra"
"Couratari guianensis"
"Hymenaea courbaril"
"Ocotea rubra"
"Brosimum parinarioides"
"Parkia pendula"
"Trattinnickia rhoifolia"
"Manilkara elata"
"Couratari guianensis"
"Bagassa guianensis"
"Hymenaea parvifolia"
"Chrysophyllum lucentifolium"
"Manilkara elata"
"Parkia gigantocarpa"
"Couratari guianensis"
"Trattinnickia rhoifolia"
"Simarouba amara"
"Cedrelinga cateniformis"
"Chrysophyllum lucentifolium"
"Manilkara elata"
"Manilkara elata"
"Caryocar glabrum"
"Goupia glabra"
"Vatairea paraensis"
"Cordia goeldiana"
"Ruizterania albiflora"
"Cedrelinga cateniformis"
"Couratari guianensis"
"Simarouba amara"
"Goupia glabra"
"Goupia glabra"
"Simarouba amara"
"Chrysophyllum lucentifolium"
"Manilkara elata"
"Manilkara elata"
"Buchenavia grandis"
"Caryocar glabrum"
"Manilkara elata"
"Manilkara elata"
"Couratari guianensis"
"Manilkara elata"
"Manilkara elata"
"Manilkara elata"
"Manilkara elata"
"Manilkara elata"
"Handroanthus impetiginosum"
"Manilkara elata"
"Couratari guianensis"
"Manilkara elata"
"Goupia glabra"
"Caryocar villosum"
"Hevea brasiliensis"
"Ocotea rubra"
"Vatairea paraensis"
"Manilkara elata"
"Chrysophyllum lucentifolium"
"Apuleia leiocarpa"
"Manilkara elata"
"Goupia glabra"
"Vochysia maxima"
"Manilkara elata"
"Vochysia maxima"
"Chrysophyllum lucentifolium"
"Simarouba amara"
"Parkia gigantocarpa"
"Manilkara elata"
"Caryocar glabrum"
"Hymenaea parvifolia"
"Manilkara elata"
"Schizolobium amazonicum"
"Ocotea rubra"
"Ocotea rubra"
"Holopyxidium jarana"
"Manilkara elata"
"Goupia glabra"
"Castilla ulei"
"Goupia glabra"
"Micropholis melinoniana"
"Couratari guianensis"
"Buchenavia grandis"
"Goupia glabra"
"Chrysophyllum lucentifolium"
"Manilkara elata"
"Vochysia maxima"
"Goupia glabra"
"Parkia gigantocarpa"
"Manilkara elata"
"Pseudopiptadenia psilostachya"
"Manilkara elata"
"Vatairea paraensis"
"Manilkara elata"
"Cedrelinga cateniformis"
"Parkia gigantocarpa"
"Bertholletia excelsa"
"Mezilaurus itauba"
"Astronium lecointei"
"Dipteryx odorata"
"Chrysophyllum lucentifolium"
"Trattinnickia rhoifolia"
"Couratari guianensis"
"Ocotea baturitensis"
"Hevea brasiliensis"
"Manilkara elata"
"Dipteryx odorata"
"Goupia glabra"
"Schizolobium amazonicum"
"Hymenaea parvifolia"
"Manilkara elata"
"Aspidosperma excelsum"
"Enterolobium maximum"
"Goupia glabra"
"Trattinnickia rhoifolia"
"Parkia gigantocarpa"
"Goupia glabra"
"Couratari guianensis"
"Bagassa guianensis"
"Goupia glabra"
"Trattinnickia rhoifolia"
"Ruizterania albiflora"
"Cordia goeldiana"
"Chrysophyllum lucentifolium"
"Goupia glabra"
"Manilkara elata"
"Goupia glabra"
"Apuleia leiocarpa"
"Simarouba amara"
"Goupia glabra"
"Manilkara elata"
"Trattinnickia rhoifolia"
"Goupia glabra"
"Simarouba amara"
"Apuleia leiocarpa"
"Manilkara elata"
"Dipteryx odorata"
"Parkia gigantocarpa"
"Goupia glabra"
"Goupia glabra"
"Manilkara elata"
"Holopyxidium jarana"
"Manilkara elata"
"Goupia glabra"
"Couratari guianensis"
"Goupia glabra"
"Virola surinamensis"
"Bertholletia excelsa"
"Marmaroxylon racemosum"
"Manilkara elata"
"Goupia glabra"
"Ocotea rubra"
"Hymenaea courbaril"
"Copaifera duckei"
"Manilkara elata"
"Manilkara elata"
"Goupia glabra"
"Ocotea cymbarum"
"Caryocar glabrum"
"Couratari guianensis"
"Manilkara elata"
"Manilkara elata"
"Vochysia maxima"
"Parkia gigantocarpa"
"Goupia glabra"
"Manilkara elata"
"Lecythis pisonis"
"Cedrelinga cateniformis"
"Couratari guianensis"
"Simarouba amara"
"Apuleia leiocarpa"
"Cedrela odorata"
"Lecythis pisonis"
"Chrysophyllum lucentifolium"
"Caryocar villosum"
"Enterolobium schomburgkii"
"Manilkara elata"
"Lecythis pisonis"
"Manilkara elata"
"Manilkara elata"
"Manilkara elata"
"Vochysia maxima"
